# FILE DU LIEU SINH VIEN
# Format: MaSV|HoTen|NgaySinh
#---------------------------------------------------------
202319779|Ngô Hải Anh|07/06/2005
202542843|Đặng Bảo Khoa|07/02/2005
202498386|Đinh Đức Giang|17/05/2003
202446426|Vũ Trọng Thảo|08/04/2006
202334470|Trần Gia Nam|09/03/2005
202460556|Trịnh Hoàng Tân|23/06/2006
202526855|Ngô Phương Phương|10/02/2003
202451616|Phan Phương Bình|11/09/2003
202394224|Nguyễn Hữu Khang|30/03/2003
202204947|Hồ Minh Bình|25/01/2004
202436579|Nguyễn Gia Vân|05/05/2005
202272400|Hoàng Tuấn Hà|15/10/2004
202269141|Phan Phương Huy|14/07/2005
202224653|Đinh Xuân Em|17/07/2003
202319843|Võ Phương Đào|23/07/2003
202417987|Phạm Xuân Hải|02/05/2003
202551314|Đoàn Kim Khoa|25/07/2004
202535147|Đinh Ngọc Vinh|18/04/2003
202265987|Lê Văn Quỳnh|20/07/2003
202306512|Đỗ Hoàng Giang|06/03/2006
202272906|Phạm Mai Sơn|11/01/2005
202300034|Nguyễn Trọng Khang|17/05/2005
202403991|Võ Trọng Trang|23/02/2006
202554864|Lý Hữu Thắng|05/01/2005
202303203|Trịnh Mai Anh|26/10/2005
202528973|Hồ Thu Phương|20/02/2006
202516512|Đinh Trọng Bình|28/10/2003
202398279|Đặng Hoàng Phát|07/07/2004
202278907|Lê Văn Huy|28/09/2005
202571061|Nguyễn Văn Quân|16/04/2005
202351021|Nguyễn Phương Khoa|22/09/2004
202266722|Đinh Xuân Em|17/10/2006
202212212|Hoàng Thị Khang|23/04/2005
202399162|Võ Hải Giang|28/08/2003
202330267|Hồ Ngọc Linh|24/09/2005
202563350|Phạm Gia Long|01/07/2003
202366543|Trịnh Hoàng Khoa|13/11/2005
202446714|Đặng Thu Bảo|20/03/2003
202273842|Trịnh Thu Dũng|19/11/2004
202424384|Đoàn Thị Linh|22/03/2004
202403176|Lý Bảo Nam|08/03/2004
202340319|Ngô Gia Thảo|05/09/2005
202424335|Đỗ Trọng Phát|27/11/2006
202399111|Trần Xuân Dũng|13/11/2004
202235200|Hoàng Văn Quân|16/11/2005
202269584|Hoàng Kim Hà|30/01/2003
202356327|Đoàn Quang Nam|30/08/2005
202474966|Nguyễn Gia Yến|08/10/2004
202249548|Bùi Đức Anh|06/04/2004
202447799|Ngô Trọng Hải|01/07/2006
202550166|Bùi Thanh Quỳnh|25/04/2004
202245752|Đặng Quang Hà|16/04/2004
202426468|Vũ Ngọc Khang|17/10/2006
202576890|Hoàng Gia Huy|16/08/2003
202364646|Lê Thị Anh|30/10/2004
202338591|Trần Bảo Phát|05/05/2003
202570426|Lý Phương Vinh|29/12/2005
202519606|Đoàn Xuân Quỳnh|31/10/2004
202258180|Huỳnh Mai Đào|06/08/2006
202507601|Nguyễn Phương Bảo|30/10/2003
202483895|Ngô Xuân Chi|02/03/2003
202491806|Đoàn Ngọc Bảo|13/01/2003
202486209|Lê Mai Khoa|28/06/2005
202409525|Ngô Tuấn Khoa|28/04/2003
